COMMENCEMENT of the 4th SEMESTER EXTERNAL EXAMINATION !!!

27-05-2024  --->  MINI PROJECT 1
28-05-2024  --->  OBJECT ORIENTED PROGRAMMINGs LAB

31-05-2024  --->  OBJECT ORIENTED PROGRAMMINGs
04-06-2024  --->  OPERATING SYSTEM
06-06-2024  --->  DATA COMMUNICATION & COMPUTER NETWORKS
08-06-2024  --->  COMPUTER ORAGANIZATION & ARCHITECTURE
11-06-2024  --->  THEORY OF COMPUTATION

12-06-2024  --->  OPERATING SYSTEM LAB

15-06-2024  --->  INDIAN KNOWLEDGE SYSTEM

